기준일자,시도명,시군명,시군코드,저수율(퍼센트),평년(퍼센트),평년대비(퍼센트),가뭄단계
2024-01-01,서울,서울시,11000,0,0,100,정상
2024-01-01,부산,부산,26000,0,0,100,정상
2024-01-01,부산,기장군,26710,100,85.7,116.6,정상
2024-01-01,대구,대구,27000,78.8,76.7,102.7,정상
2024-01-01,대구,달성군,27710,95.8,72.2,132.7,정상
2024-01-01,인천,인천,28000,0,0,100,정상
2024-01-01,인천,강화군,28710,91.3,82,111.3,정상
2024-01-01,인천,옹진군,28720,50,50,100,정상
2024-01-01,광주,광주,29000,89.4,66.6,134.2,정상
2024-01-01,대전,대전,30000,85.9,88.5,97,정상
2024-01-01,울산,울산,31000,93.9,77.6,121,정상
2024-01-01,울산,울주군,31710,94.6,77.6,121.9,정상
2024-01-01,세종,세종시,36110,84.9,75.3,112.8,정상
2024-01-01,경기,수원시,41110,95.2,84.2,113,정상
2024-01-01,경기,성남시,41130,96.6,89.4,108,정상
2024-01-01,경기,의정부시,41150,0,0,100,정상
2024-01-01,경기,안양시,41170,0,0,100,정상
2024-01-01,경기,부천시,41190,0,0,100,정상
2024-01-01,경기,광명시,41210,70.8,80,88.5,정상
2024-01-01,경기,평택시,41220,82.7,78.6,105.2,정상
2024-01-01,경기,동두천시,41250,0,0,100,정상
2024-01-01,경기,안산시,41270,100,75,133.3,정상
2024-01-01,경기,고양시,41280,0,0,100,정상
2024-01-01,경기,과천시,41290,90.1,95.5,94.3,정상
2024-01-01,경기,구리시,41310,0,0,100,정상
2024-01-01,경기,남양주시,41360,88.3,82.9,106.4,정상
2024-01-01,경기,오산시,41370,94.4,87.9,107.4,정상
2024-01-01,경기,시흥시,41390,100,86.4,115.8,정상
2024-01-01,경기,군포시,41410,90.2,92.1,97.9,정상
2024-01-01,경기,의왕시,41430,88.9,79.8,111.4,정상
2024-01-01,경기,하남시,41450,81.2,75,108.3,정상
2024-01-01,경기,용인시,41460,83.3,81.5,102.3,정상
2024-01-01,경기,파주시,41480,96.8,88.7,109.1,정상
2024-01-01,경기,이천시,41500,85.9,85.5,100.5,정상
2024-01-01,경기,안성시,41550,93.2,81.7,114,정상
2024-01-01,경기,김포시,41570,95.7,74.4,128.6,정상
2024-01-01,경기,화성시,41590,91.8,83.4,110,정상
2024-01-01,경기,광주시,41610,98.5,94.5,104.2,정상
2024-01-01,경기,양주시,41630,96.3,83.1,115.9,정상
2024-01-01,경기,포천시,41650,93.7,86.3,108.5,정상
2024-01-01,경기,여주시,41670,92.4,71.8,128.6,정상
2024-01-01,경기,연천군,41800,75.1,91.2,82.3,정상
2024-01-01,경기,가평군,41820,69.4,75,92.5,정상
2024-01-01,경기,양평군,41830,84.8,77,110.1,정상
2024-01-01,강원,춘천시,42110,83.5,71.2,117.3,정상
2024-01-01,강원,원주시,42130,85.4,79.6,107.3,정상
2024-01-01,강원,강릉시,42150,93.1,81.7,113.9,정상
2024-01-01,강원,동해시,42170,73,71,102.8,정상
2024-01-01,강원,태백시,42190,0,0,100,정상
2024-01-01,강원,속초시,42210,87.1,72.1,120.8,정상
2024-01-01,강원,삼척시,42230,85.7,90.8,94.3,정상
2024-01-01,강원,홍천군,42720,91.2,78.9,115.6,정상
2024-01-01,강원,횡성군,42730,95.4,87.7,108.8,정상
2024-01-01,강원,영월군,42750,84,84,100,정상
2024-01-01,강원,평창군,42760,99.8,94.4,105.7,정상
2024-01-01,강원,정선군,42770,0,0,100,정상
2024-01-01,강원,철원군,42780,93.5,87.2,107.2,정상
2024-01-01,강원,화천군,42790,77.2,76.6,100.8,정상
2024-01-01,강원,양구군,42800,95,91.2,104.1,정상
2024-01-01,강원,인제군,42810,78,82,95.1,정상
2024-01-01,강원,고성군,42820,88.4,81.8,108.1,정상
2024-01-01,강원,양양군,42830,99.5,87.9,113.3,정상
2024-01-01,충북,청주시,43110,95,85.4,111.2,정상
2024-01-01,충북,충주시,43130,96,79.5,120.8,정상
2024-01-01,충북,제천시,43150,95.5,92.9,102.8,정상
2024-01-01,충북,보은군,43720,88.5,63.9,138.5,정상
2024-01-01,충북,옥천군,43730,96.8,83.3,116.2,정상
2024-01-01,충북,영동군,43740,96.9,79.3,122.3,정상
2024-01-01,충북,증평군,43745,95.6,56.6,168.9,정상
2024-01-01,충북,진천군,43750,91.6,78.3,117,정상
2024-01-01,충북,괴산군,43760,94.8,82.4,115.1,정상
2024-01-01,충북,음성군,43770,93.9,82.1,114.4,정상
2024-01-01,충북,단양군,43800,96.4,91.6,105.2,정상
2024-01-01,충남,천안시,44130,96.4,82.4,117,정상
2024-01-01,충남,공주시,44150,98.3,72.2,136.1,정상
2024-01-01,충남,보령시,44180,91.4,80.9,112.9,정상
2024-01-01,충남,아산시,44200,99.3,85.7,115.9,정상
2024-01-01,충남,서산시,44210,89.8,81.6,110.1,정상
2024-01-01,충남,논산시,44230,90.1,79.3,113.5,정상
2024-01-01,충남,계룡시,44250,93,100,93,정상
2024-01-01,충남,당진시,44270,85.1,80.9,105.2,정상
2024-01-01,충남,금산군,44710,96,72.1,133.2,정상
2024-01-01,충남,부여군,44760,98.5,76.9,128.1,정상
2024-01-01,충남,서천군,44770,99.9,79.9,125.1,정상
2024-01-01,충남,청양군,44790,98.5,80.5,122.4,정상
2024-01-01,충남,홍성군,44800,91.8,79.3,115.7,정상
2024-01-01,충남,예산군,44810,89.9,84.9,105.8,정상
2024-01-01,충남,태안군,44825,92.8,88.4,105,정상
2024-01-01,전북,전주시,45110,71.8,69.5,103.4,정상
2024-01-01,전북,군산시,45130,67.6,69.8,96.7,정상
2024-01-01,전북,익산시,45140,97.1,79,122.9,정상
2024-01-01,전북,정읍시,45180,93.8,67.8,138.4,정상
2024-01-01,전북,남원시,45190,85.4,69.3,123.4,정상
2024-01-01,전북,김제시,45210,83.5,71.6,116.6,정상
2024-01-01,전북,완주군,45710,81.4,58.4,139.3,정상
2024-01-01,전북,진안군,45720,88.9,56,158.8,정상
2024-01-01,전북,무주군,45730,83.9,61.4,136.8,정상
2024-01-01,전북,장수군,45740,88.7,62.8,141.2,정상
2024-01-01,전북,임실군,45750,98.9,79,125.2,정상
2024-01-01,전북,순창군,45770,84.4,66.9,126.1,정상
2024-01-01,전북,고창군,45790,75.2,71.5,105.2,정상
2024-01-01,전북,부안군,45800,72.8,69.1,105.4,정상
2024-01-01,전남,목포시,46110,69.3,62,111.8,정상
2024-01-01,전남,여수시,46130,91,76.6,118.9,정상
2024-01-01,전남,순천시,46150,86.8,76.8,113,정상
2024-01-01,전남,나주시,46170,66.3,56.1,118.1,정상
2024-01-01,전남,광양시,46230,74.4,82.1,90.5,정상
2024-01-01,전남,담양군,46710,79.9,60.7,131.5,정상
2024-01-01,전남,곡성군,46720,91.7,62.7,146.2,정상
2024-01-01,전남,구례군,46730,79.5,71.8,110.7,정상
2024-01-01,전남,고흥군,46770,80.6,73.3,109.9,정상
2024-01-01,전남,보성군,46780,76.6,76.3,100.4,정상
2024-01-01,전남,화순군,46790,87,65,133.8,정상
2024-01-01,전남,장흥군,46800,82.7,69.1,119.7,정상
2024-01-01,전남,강진군,46810,86.7,68.2,127,정상
2024-01-01,전남,해남군,46820,73.4,66,111.2,정상
2024-01-01,전남,영암군,46830,80.5,64.9,124.1,정상
2024-01-01,전남,무안군,46840,83.6,69.9,119.6,정상
2024-01-01,전남,함평군,46860,89.2,68,131.2,정상
2024-01-01,전남,영광군,46870,81.5,66,123.5,정상
2024-01-01,전남,장성군,46880,81.4,60.4,134.7,정상
2024-01-01,전남,완도군,46890,83.1,71.5,116.2,정상
2024-01-01,전남,진도군,46900,83.7,67.8,123.4,정상
2024-01-01,전남,신안군,46910,87.1,70,124.4,정상
2024-01-01,경북,포항시,47110,88.8,74.7,119,정상
2024-01-01,경북,경주시,47130,90.5,70.1,129,정상
2024-01-01,경북,김천시,47150,87.9,83.7,105,정상
2024-01-01,경북,안동시,47170,90.2,74,121.8,정상
2024-01-01,경북,구미시,47190,91.1,76.7,118.8,정상
2024-01-01,경북,영주시,47210,95,78.7,120.7,정상
2024-01-01,경북,영천시,47230,84.2,77.9,108,정상
2024-01-01,경북,상주시,47250,93.7,74.7,125.5,정상
2024-01-01,경북,문경시,47280,90.6,80.8,112.1,정상
2024-01-01,경북,경산시,47290,88.3,71.6,123.2,정상
2024-01-01,대구,군위군,47720,98.9,78.5,126,정상
2024-01-01,경북,의성군,47730,84.2,62.9,133.8,정상
2024-01-01,경북,청송군,47750,88.3,59.8,147.6,정상
2024-01-01,경북,영양군,47760,93.2,79,117.9,정상
2024-01-01,경북,영덕군,47770,97.1,73.6,131.9,정상
2024-01-01,경북,청도군,47820,87.1,74,117.7,정상
2024-01-01,경북,고령군,47830,87.1,63.3,137.6,정상
2024-01-01,경북,성주군,47840,85.8,64.8,132.5,정상
2024-01-01,경북,칠곡군,47850,79,79.3,99.7,정상
2024-01-01,경북,예천군,47900,85.6,74.6,114.8,정상
2024-01-01,경북,봉화군,47920,99.1,57.3,173,정상
2024-01-01,경북,울진군,47930,88.2,74.3,118.6,정상
2024-01-01,경북,울릉군,47940,0,0,100,정상
2024-01-01,경남,창원시,48120,70.6,62.7,112.7,정상
2024-01-01,경남,진주시,48170,89.6,68.9,130.1,정상
2024-01-01,경남,통영시,48220,89.9,76.7,117.2,정상
2024-01-01,경남,사천시,48240,90,77.4,116.3,정상
2024-01-01,경남,김해시,48250,99.4,55.3,179.7,정상
2024-01-01,경남,밀양시,48270,90.1,71.7,125.7,정상
2024-01-01,경남,거제시,48310,94.9,78.5,121,정상
2024-01-01,경남,양산시,48330,86.7,87.3,99.2,정상
2024-01-01,경남,의령군,48720,96.8,75.4,128.4,정상
2024-01-01,경남,함안군,48730,79.7,67.7,117.8,정상
2024-01-01,경남,창녕군,48740,79.8,69.7,114.4,정상
2024-01-01,경남,고성군,48820,86.2,73.5,117.3,정상
2024-01-01,경남,남해군,48840,86.7,74.4,116.5,정상
2024-01-01,경남,하동군,48850,81.3,68.9,117.9,정상
2024-01-01,경남,산청군,48860,87.7,80.9,108.4,정상
2024-01-01,경남,함양군,48870,99.6,60.8,163.9,정상
2024-01-01,경남,거창군,48880,90.1,67.2,134,정상
2024-01-01,경남,합천군,48890,91.2,74.6,122.3,정상
2024-01-01,제주,제주시,50110,43,56.6,76,정상
2024-01-01,제주,서귀포시,50130,30.9,53,58.3,주의
2024-01-02,서울,서울시,11000,0,0,100,정상
2024-01-02,부산,부산,26000,0,0,100,정상
2024-01-02,부산,기장군,26710,100,85.7,116.7,정상
2024-01-02,대구,대구,27000,78.5,76.6,102.4,정상
2024-01-02,대구,달성군,27710,96.3,72.4,133,정상
2024-01-02,인천,인천,28000,0,0,100,정상
2024-01-02,인천,강화군,28710,91.5,81.8,111.9,정상
2024-01-02,인천,옹진군,28720,50,50,100,정상
2024-01-02,광주,광주,29000,89.4,66.6,134.2,정상
2024-01-02,대전,대전,30000,84.2,88.6,95.1,정상
2024-01-02,울산,울산,31000,93.9,77.6,121,정상
2024-01-02,울산,울주군,31710,94.8,77.8,121.8,정상
2024-01-02,세종,세종시,36110,84.9,75.4,112.6,정상
2024-01-02,경기,수원시,41110,95.2,84.3,113,정상
2024-01-02,경기,성남시,41130,96.6,89.4,108,정상
2024-01-02,경기,의정부시,41150,0,0,100,정상
2024-01-02,경기,안양시,41170,0,0,100,정상
2024-01-02,경기,부천시,41190,0,0,100,정상
2024-01-02,경기,광명시,41210,70.8,80,88.5,정상
2024-01-02,경기,평택시,41220,83,78.6,105.6,정상
2024-01-02,경기,동두천시,41250,0,0,100,정상
2024-01-02,경기,안산시,41270,100,75,133.3,정상
2024-01-02,경기,고양시,41280,0,0,100,정상
2024-01-02,경기,과천시,41290,93.9,95.6,98.2,정상
2024-01-02,경기,구리시,41310,0,0,100,정상
2024-01-02,경기,남양주시,41360,90.9,83.2,109.2,정상
2024-01-02,경기,오산시,41370,94.4,88,107.3,정상
2024-01-02,경기,시흥시,41390,100,86.4,115.7,정상
2024-01-02,경기,군포시,41410,89.9,92.1,97.6,정상
2024-01-02,경기,의왕시,41430,90.1,80,112.6,정상
2024-01-02,경기,하남시,41450,81.2,75,108.3,정상
2024-01-02,경기,용인시,41460,85.5,81.2,105.4,정상
2024-01-02,경기,파주시,41480,97.1,88.7,109.5,정상
2024-01-02,경기,이천시,41500,85.9,85.5,100.5,정상
2024-01-02,경기,안성시,41550,93.9,81.8,114.8,정상
2024-01-02,경기,김포시,41570,95.7,74.5,128.5,정상
2024-01-02,경기,화성시,41590,91.3,83.5,109.3,정상
2024-01-02,경기,광주시,41610,98.5,94.5,104.2,정상
2024-01-02,경기,양주시,41630,96.6,83.1,116.2,정상
2024-01-02,경기,포천시,41650,93.7,86.3,108.6,정상
2024-01-02,경기,여주시,41670,92.8,71.9,129.2,정상
2024-01-02,경기,연천군,41800,78.2,91.3,85.7,정상
2024-01-02,경기,가평군,41820,69.4,75,92.5,정상
2024-01-02,경기,양평군,41830,88.6,77.2,114.9,정상
2024-01-02,강원,춘천시,42110,83.4,71.2,117.2,정상
2024-01-02,강원,원주시,42130,85.1,79.6,106.8,정상
2024-01-02,강원,강릉시,42150,94.2,81.7,115.3,정상
2024-01-02,강원,동해시,42170,73,71,102.8,정상
2024-01-02,강원,태백시,42190,0,0,100,정상
2024-01-02,강원,속초시,42210,87.1,72.1,120.8,정상
2024-01-02,강원,삼척시,42230,83.8,90.9,92.2,정상
2024-01-02,강원,홍천군,42720,91.9,78.9,116.4,정상
2024-01-02,강원,횡성군,42730,95.4,87.7,108.7,정상
2024-01-02,강원,영월군,42750,84,84,100,정상
2024-01-02,강원,평창군,42760,99.7,94.4,105.6,정상
2024-01-02,강원,정선군,42770,0,0,100,정상
2024-01-02,강원,철원군,42780,93.9,87.3,107.6,정상
2024-01-02,강원,화천군,42790,77.2,76.6,100.8,정상
2024-01-02,강원,양구군,42800,95,91.2,104.1,정상
2024-01-02,강원,인제군,42810,78,82,95.1,정상
2024-01-02,강원,고성군,42820,86.4,81.8,105.6,정상
2024-01-02,강원,양양군,42830,99.5,88,113.1,정상
2024-01-02,충북,청주시,43110,95.1,85.4,111.3,정상
2024-01-02,충북,충주시,43130,96.1,79.5,120.8,정상
2024-01-02,충북,제천시,43150,95.6,92.9,102.9,정상
2024-01-02,충북,보은군,43720,88.7,63.9,138.8,정상
2024-01-02,충북,옥천군,43730,96.8,83.4,116,정상
2024-01-02,충북,영동군,43740,96.8,79.4,121.9,정상
2024-01-02,충북,증평군,43745,95.6,56.6,168.8,정상
2024-01-02,충북,진천군,43750,91.5,78.4,116.8,정상
2024-01-02,충북,괴산군,43760,94.8,82.4,115.1,정상
2024-01-02,충북,음성군,43770,94,82.1,114.5,정상
2024-01-02,충북,단양군,43800,96.4,91.7,105.2,정상
2024-01-02,충남,천안시,44130,96.6,82.5,117.1,정상
2024-01-02,충남,공주시,44150,98.3,72.3,136,정상
2024-01-02,충남,보령시,44180,87,80.8,107.6,정상
2024-01-02,충남,아산시,44200,99.5,85.8,116,정상
2024-01-02,충남,서산시,44210,90.7,81.7,111,정상
2024-01-02,충남,논산시,44230,88.1,79.4,110.9,정상
2024-01-02,충남,계룡시,44250,93,100,93,정상
2024-01-02,충남,당진시,44270,85.1,81,105,정상
2024-01-02,충남,금산군,44710,96.1,72.1,133.2,정상
2024-01-02,충남,부여군,44760,98.5,76.9,128.1,정상
2024-01-02,충남,서천군,44770,99.9,80,125,정상
2024-01-02,충남,청양군,44790,98.7,80.5,122.5,정상
2024-01-02,충남,홍성군,44800,91.1,79.4,114.7,정상
2024-01-02,충남,예산군,44810,89.5,85.1,105.2,정상
2024-01-02,충남,태안군,44825,93.1,88.4,105.3,정상
2024-01-02,전북,전주시,45110,71.7,69.6,103,정상
2024-01-02,전북,군산시,45130,67.2,69.9,96.1,정상
2024-01-02,전북,익산시,45140,97.9,79.1,123.7,정상
2024-01-02,전북,정읍시,45180,93.8,67.8,138.3,정상
2024-01-02,전북,남원시,45190,85.7,69.9,122.5,정상
2024-01-02,전북,김제시,45210,83.5,71.7,116.5,정상
2024-01-02,전북,완주군,45710,80.3,58.4,137.6,정상
2024-01-02,전북,진안군,45720,84.5,55.9,151.1,정상
2024-01-02,전북,무주군,45730,82.5,61.3,134.5,정상
2024-01-02,전북,장수군,45740,88.7,62.8,141.2,정상
2024-01-02,전북,임실군,45750,98.9,79,125.1,정상
2024-01-02,전북,순창군,45770,84.2,67,125.7,정상
2024-01-02,전북,고창군,45790,75.9,71.7,106,정상
2024-01-02,전북,부안군,45800,73,69.1,105.6,정상
2024-01-02,전남,목포시,46110,69.3,62,111.8,정상
2024-01-02,전남,여수시,46130,91,76.6,118.9,정상
2024-01-02,전남,순천시,46150,86.6,76.9,112.7,정상
2024-01-02,전남,나주시,46170,66.5,56.2,118.4,정상
2024-01-02,전남,광양시,46230,74.5,82.1,90.7,정상
2024-01-02,전남,담양군,46710,80.2,60.8,131.9,정상
2024-01-02,전남,곡성군,46720,91.7,62.7,146.1,정상
2024-01-02,전남,구례군,46730,78.3,71.8,109,정상
2024-01-02,전남,고흥군,46770,80.6,73.3,109.9,정상
2024-01-02,전남,보성군,46780,76.8,76.4,100.5,정상
2024-01-02,전남,화순군,46790,87.2,65.1,133.9,정상
2024-01-02,전남,장흥군,46800,82.8,69.1,119.7,정상
2024-01-02,전남,강진군,46810,87,68.3,127.5,정상
2024-01-02,전남,해남군,46820,73.7,66,111.6,정상
2024-01-02,전남,영암군,46830,80.8,64.9,124.5,정상
2024-01-02,전남,무안군,46840,83.7,69.9,119.6,정상
2024-01-02,전남,함평군,46860,89.5,68.1,131.5,정상
2024-01-02,전남,영광군,46870,81.1,66.1,122.7,정상
2024-01-02,전남,장성군,46880,81.9,60.5,135.4,정상
2024-01-02,전남,완도군,46890,83.2,71.5,116.4,정상
2024-01-02,전남,진도군,46900,84.3,67.8,124.3,정상
2024-01-02,전남,신안군,46910,87,70,124.3,정상
2024-01-02,경북,포항시,47110,89.2,74.7,119.3,정상
2024-01-02,경북,경주시,47130,90.3,70.2,128.6,정상
2024-01-02,경북,김천시,47150,88.1,83.7,105.2,정상
2024-01-02,경북,안동시,47170,83.7,73.9,113.2,정상
2024-01-02,경북,구미시,47190,91,76.6,118.8,정상
2024-01-02,경북,영주시,47210,92.9,78.2,118.7,정상
2024-01-02,경북,영천시,47230,84.3,77.6,108.6,정상
2024-01-02,경북,상주시,47250,93.7,74.8,125.4,정상
2024-01-02,경북,문경시,47280,90.4,80.8,111.9,정상
2024-01-02,경북,경산시,47290,88.2,71.5,123.2,정상
2024-01-02,대구,군위군,47720,98.9,78.5,126,정상
2024-01-02,경북,의성군,47730,83.6,63.5,131.7,정상
2024-01-02,경북,청송군,47750,88.3,59.8,147.8,정상
2024-01-02,경북,영양군,47760,93.3,79.1,117.9,정상
2024-01-02,경북,영덕군,47770,97.1,73.2,132.7,정상
2024-01-02,경북,청도군,47820,86.9,74,117.5,정상
2024-01-02,경북,고령군,47830,87.1,63.3,137.6,정상
2024-01-02,경북,성주군,47840,85.9,64.8,132.6,정상
2024-01-02,경북,칠곡군,47850,79,79.2,99.8,정상
2024-01-02,경북,예천군,47900,85.5,74.6,114.6,정상
2024-01-02,경북,봉화군,47920,99.3,56.6,175.5,정상
2024-01-02,경북,울진군,47930,88.6,74.3,119.2,정상
2024-01-02,경북,울릉군,47940,0,0,100,정상
2024-01-02,경남,창원시,48120,71.1,62.8,113.2,정상
2024-01-02,경남,진주시,48170,89.6,68.9,130.1,정상
2024-01-02,경남,통영시,48220,89.6,76.6,116.9,정상
2024-01-02,경남,사천시,48240,90,77.4,116.3,정상
2024-01-02,경남,김해시,48250,99.6,55.3,180,정상
2024-01-02,경남,밀양시,48270,90.3,71.7,125.9,정상
2024-01-02,경남,거제시,48310,94.9,78.4,121,정상
2024-01-02,경남,양산시,48330,86.7,87.3,99.2,정상
2024-01-02,경남,의령군,48720,96.7,75.4,128.4,정상
2024-01-02,경남,함안군,48730,80,67.7,118.1,정상
2024-01-02,경남,창녕군,48740,79.8,69.7,114.4,정상
2024-01-02,경남,고성군,48820,85.3,73.5,116.2,정상
2024-01-02,경남,남해군,48840,86.9,74.5,116.6,정상
2024-01-02,경남,하동군,48850,81.2,68.9,117.8,정상
2024-01-02,경남,산청군,48860,81.8,80.2,101.9,정상
2024-01-02,경남,함양군,48870,99.6,60.8,163.9,정상
2024-01-02,경남,거창군,48880,89.7,67.3,133.3,정상
2024-01-02,경남,합천군,48890,91.4,74.5,122.7,정상
2024-01-02,제주,제주시,50110,42.5,56.5,75.3,정상
2024-01-02,제주,서귀포시,50130,30.5,52.7,57.9,주의
2024-01-03,서울,서울시,11000,0,0,100,정상
2024-01-03,부산,부산,26000,0,0,100,정상
2024-01-03,부산,기장군,26710,100,85.7,116.7,정상
2024-01-03,대구,대구,27000,78.4,76.6,102.3,정상
2024-01-03,대구,달성군,27710,95.6,72.4,132.1,정상
2024-01-03,인천,인천,28000,0,0,100,정상
2024-01-03,인천,강화군,28710,91.8,81.8,112.3,정상
2024-01-03,인천,옹진군,28720,50,50,100,정상
2024-01-03,광주,광주,29000,89.4,66.6,134.2,정상
2024-01-03,대전,대전,30000,84.4,88.6,95.3,정상
2024-01-03,울산,울산,31000,93.9,77.5,121.1,정상
2024-01-03,울산,울주군,31710,94.8,78.2,121.2,정상
2024-01-03,세종,세종시,36110,84.7,75.4,112.3,정상
2024-01-03,경기,수원시,41110,94,84.4,111.3,정상
2024-01-03,경기,성남시,41130,96.5,89.4,107.9,정상
2024-01-03,경기,의정부시,41150,0,0,100,정상
2024-01-03,경기,안양시,41170,0,0,100,정상
2024-01-03,경기,부천시,41190,0,0,100,정상
2024-01-03,경기,광명시,41210,70.1,80,87.6,정상
2024-01-03,경기,평택시,41220,81.5,78.2,104.2,정상
2024-01-03,경기,동두천시,41250,0,0,100,정상
2024-01-03,경기,안산시,41270,99.9,75,133.2,정상
2024-01-03,경기,고양시,41280,0,0,100,정상
2024-01-03,경기,과천시,41290,94.8,95.9,98.8,정상
2024-01-03,경기,구리시,41310,0,0,100,정상
2024-01-03,경기,남양주시,41360,91.9,83,110.7,정상
2024-01-03,경기,오산시,41370,94.3,87.8,107.4,정상
2024-01-03,경기,시흥시,41390,100,88.3,113.3,정상
2024-01-03,경기,군포시,41410,90,92.1,97.7,정상
2024-01-03,경기,의왕시,41430,90.1,80.1,112.4,정상
2024-01-03,경기,하남시,41450,84.9,75,113.2,정상
2024-01-03,경기,용인시,41460,85.9,80.9,106.3,정상
2024-01-03,경기,파주시,41480,97.1,88.8,109.4,정상
2024-01-03,경기,이천시,41500,86.6,85.3,101.5,정상
2024-01-03,경기,안성시,41550,94,81.8,115,정상
2024-01-03,경기,김포시,41570,95.7,73.5,130.3,정상
2024-01-03,경기,화성시,41590,91.1,83.5,109.1,정상
2024-01-03,경기,광주시,41610,98.7,94.5,104.5,정상
2024-01-03,경기,양주시,41630,96.7,83.1,116.3,정상
2024-01-03,경기,포천시,41650,93.8,86.2,108.8,정상
2024-01-03,경기,여주시,41670,93,71.9,129.5,정상
2024-01-03,경기,연천군,41800,78.9,91.3,86.4,정상
2024-01-03,경기,가평군,41820,70.2,75,93.6,정상
2024-01-03,경기,양평군,41830,89.4,77.2,115.8,정상
2024-01-03,강원,춘천시,42110,83.4,71.2,117.2,정상
2024-01-03,강원,원주시,42130,85.3,79.6,107.2,정상
2024-01-03,강원,강릉시,42150,94.4,81.7,115.5,정상
2024-01-03,강원,동해시,42170,75,75,100.1,정상
2024-01-03,강원,태백시,42190,0,0,100,정상
2024-01-03,강원,속초시,42210,84.6,66.9,126.5,정상
2024-01-03,강원,삼척시,42230,83.6,91,91.9,정상
2024-01-03,강원,홍천군,42720,92,79,116.4,정상
2024-01-03,강원,횡성군,42730,96.5,90.4,106.8,정상
2024-01-03,강원,영월군,42750,86,86,100,정상
2024-01-03,강원,평창군,42760,99.7,94.5,105.5,정상
2024-01-03,강원,정선군,42770,0,0,100,정상
2024-01-03,강원,철원군,42780,93.9,87.3,107.6,정상
2024-01-03,강원,화천군,42790,77.2,76.6,100.8,정상
2024-01-03,강원,양구군,42800,94.9,91.2,104.1,정상
2024-01-03,강원,인제군,42810,78.5,82,95.7,정상
2024-01-03,강원,고성군,42820,86.1,81.9,105.2,정상
2024-01-03,강원,양양군,42830,99.5,88.1,113,정상
2024-01-03,충북,청주시,43110,95,85.5,111.1,정상
2024-01-03,충북,충주시,43130,96.1,79.6,120.7,정상
2024-01-03,충북,제천시,43150,95.4,92.9,102.7,정상
2024-01-03,충북,보은군,43720,88.9,64,139,정상
2024-01-03,충북,옥천군,43730,96.8,83.5,116,정상
2024-01-03,충북,영동군,43740,96.6,79.4,121.6,정상
2024-01-03,충북,증평군,43745,95.6,56.6,168.7,정상
2024-01-03,충북,진천군,43750,91.4,78.5,116.5,정상
2024-01-03,충북,괴산군,43760,95.4,82.5,115.7,정상
2024-01-03,충북,음성군,43770,94,82.1,114.4,정상
2024-01-03,충북,단양군,43800,98.3,92.9,105.7,정상
2024-01-03,충남,천안시,44130,96.6,82.5,117.1,정상
2024-01-03,충남,공주시,44150,98.3,72.3,135.9,정상
2024-01-03,충남,보령시,44180,86.3,80.8,106.8,정상
2024-01-03,충남,아산시,44200,99.5,85.9,115.9,정상
2024-01-03,충남,서산시,44210,90.8,81.7,111.1,정상
2024-01-03,충남,논산시,44230,89,79.6,111.9,정상
2024-01-03,충남,계룡시,44250,93,100,93,정상
2024-01-03,충남,당진시,44270,85.2,81,105.2,정상
2024-01-03,충남,금산군,44710,96,72.1,133.1,정상
2024-01-03,충남,부여군,44760,98.5,76.9,128,정상
2024-01-03,충남,서천군,44770,99.9,80,124.9,정상
2024-01-03,충남,청양군,44790,98.7,80.6,122.4,정상
2024-01-03,충남,홍성군,44800,91,79.4,114.5,정상
2024-01-03,충남,예산군,44810,90.3,85.3,105.9,정상
2024-01-03,충남,태안군,44825,92.5,88.4,104.7,정상
2024-01-03,전북,전주시,45110,71.7,69.4,103.4,정상
2024-01-03,전북,군산시,45130,67,69.9,95.9,정상
2024-01-03,전북,익산시,45140,98.1,79.3,123.7,정상
2024-01-03,전북,정읍시,45180,93.9,68,138.2,정상
2024-01-03,전북,남원시,45190,86.1,69.2,124.4,정상
2024-01-03,전북,김제시,45210,84.1,71.8,117.2,정상
2024-01-03,전북,완주군,45710,80,58.4,137.1,정상
2024-01-03,전북,진안군,45720,83.3,55.9,149,정상
2024-01-03,전북,무주군,45730,82.1,61.3,133.9,정상
2024-01-03,전북,장수군,45740,88.4,62.8,140.8,정상
2024-01-03,전북,임실군,45750,98.9,79.1,125.1,정상
2024-01-03,전북,순창군,45770,84.1,67,125.5,정상
2024-01-03,전북,고창군,45790,75.5,71.7,105.3,정상
2024-01-03,전북,부안군,45800,73.2,69.2,105.8,정상
2024-01-03,전남,목포시,46110,68.5,62,110.5,정상
2024-01-03,전남,여수시,46130,91,76.6,118.9,정상
2024-01-03,전남,순천시,46150,86.6,76.8,112.7,정상
2024-01-03,전남,나주시,46170,66.5,56.2,118.3,정상
2024-01-03,전남,광양시,46230,74.5,81.9,90.9,정상
2024-01-03,전남,담양군,46710,80.3,60.8,132.1,정상
2024-01-03,전남,곡성군,46720,91.7,62.7,146.1,정상
2024-01-03,전남,구례군,46730,76.9,71.8,107.1,정상
2024-01-03,전남,고흥군,46770,79.8,73.5,108.6,정상
2024-01-03,전남,보성군,46780,76.8,76.4,100.5,정상
2024-01-03,전남,화순군,46790,87.1,65.1,133.8,정상
2024-01-03,전남,장흥군,46800,83.1,69.2,120.2,정상
2024-01-03,전남,강진군,46810,87,68.3,127.4,정상
2024-01-03,전남,해남군,46820,74,66.4,111.5,정상
2024-01-03,전남,영암군,46830,80.8,64.9,124.5,정상
